"time","mass.s"
0,1
0.003,0.9992842497479919
0.006,0.9971451249926775
0.009,0.9935963641946217
0.012,0.9886536656586237
0.015,0.9823343819750588
0.018,0.9746578577541599
0.021,0.965645114663737
0.024,0.955318959147421
0.027,0.943704001985281
0.03,0.9308265855165633
0.033,0.9167145048561253
0.036,0.9013971938406081
0.039,0.8849055888190677
0.042,0.8672720083804804
0.045,0.8485302086532734
0.048,0.8287152763783088
0.051,0.8078635265932311
0.054,0.7860125375001003
0.057,0.7632010327875097
0.06,0.7394687799301303
0.063,0.7148566142363326
0.066,0.6894063099618105
0.069,0.6631604897045547
0.072,0.6361626410757573
0.075,0.6084569817413469
0.078,0.5800884038723028
0.081,0.5511024327853425
0.084,0.5215451144634116
0.087,0.4914629742084134
0.09,0.4609029528960546
0.093,0.4299123025910425
0.096,0.3985385552224944
0.099,0.3668294334613482
0.102,0.3348327740283572
0.105,0.3025964755024477
0.108,0.2701684188948034
0.111,0.2375964033393082
0.114,0.2049280691974036
0.117,0.1722108464085566
0.12,0.1394918826253651
0.123,0.1068179573024956
0.126,0.07423546230969337
0.129,0.04179029677144339
0.132,0.009527804025772829
0.135,-0.02250722122686616
0.138,-0.0542706983221411
0.141,-0.08571925400851438
0.144,-0.1168102434046435
0.147,-0.1475019141200521
0.15,-0.1777533712497847
0.153,-0.2075246221857016
0.156,-0.2367767237830228
0.159,-0.2654717186004831
0.162,-0.293572727101426
0.165,-0.3210440486123484
0.168,-0.3478510721421301
0.171,-0.3739604455288373
0.174,-0.3993400872290593
0.177,-0.4239590994697788
0.18,-0.447788009226076
0.183,-0.4707986677810674
0.186,-0.4929642324028733
0.189,-0.5142593743664369
0.192,-0.5346601504635213
0.195,-0.5541440339686657
0.198,-0.5726900697810993
0.201,-0.5902787239541444
0.204,-0.6068919880985592
0.207,-0.6225134482728527
0.21,-0.6371281214319179
0.213,-0.6507226599334579
0.216,-0.6632852866159078
0.219,-0.6748056762838025
0.222,-0.6852751961389576
0.225,-0.6946867444841499
0.228,-0.7030347099301668
0.231,-0.7103151571911294
0.234,-0.7165256476565388
0.237,-0.7216652586459329
0.24,-0.7257346957596599
0.243,-0.7287361045130102
0.246,-0.7306731674904728
0.249,-0.7315511160396119
0.252,-0.7313765439876957
0.255,-0.7301575993477415
0.258,-0.72790385752444
0.261,-0.7246262266623282
0.264,-0.7203370982355375
0.267,-0.7150501392792605
0.27,-0.7087803220339935
0.273,-0.7015439709515231
0.276,-0.6933586544751988
0.279,-0.6842431903705387
0.282,-0.6742175511536247
0.285,-0.6633028441389492
0.288,-0.6515213416648927
0.291,-0.6388963549902797
0.294,-0.6254522618041758
0.297,-0.611214399744791
0.3,-0.5962090348457787
0.303,-0.5804633717259647
0.306,-0.5640054464550133
0.309,-0.5468641254368043
0.312,-0.5290690193125899
0.315,-0.5106504398004373
0.318,-0.4916393899290105
0.321,-0.4720674709612578
0.324,-0.451966866627167
0.327,-0.4313702649737937
0.33,-0.4103108090531133
0.333,-0.3888220749813005
0.336,-0.3669379904389786
0.339,-0.3446928038078765
0.342,-0.322121018290831
0.345,-0.299257340054943
0.348,-0.2761366411547683
0.351,-0.2527939010453775
0.354,-0.2292641526549558
0.357,-0.2055824348562719
0.36,-0.1817837407846004
0.363,-0.1579029665355381
0.366,-0.1339748765970048
0.369,-0.1100340307765339
0.372,-0.08611475355704529
0.375,-0.06225108569545221
0.378,-0.03847672148313411
0.381,-0.01482499803434892
0.384,0.008671193715698142
0.387,0.03197942327600807
0.39,0.05506776227084133
0.393,0.07790485751507691
0.396,0.1004599177651415
0.399,0.1227028135212922
0.402,0.1446040780770286
0.405,0.1661349386012618
0.408,0.1872673976038133
0.411,0.2079741976652986
0.414,0.2282289260695162
0.417,0.2480060058651024
0.42,0.2672807137765796
0.423,0.2860292674519668
0.426,0.304228770655206
0.429,0.3218573174754159
0.432,0.3388939760408501
0.435,0.3553187915264698
0.438,0.3711128766840235
0.441,0.3862583401856591
0.444,0.4007383857726899
0.447,0.4145372909504152
0.45,0.4276403944097658
0.453,0.4400341869584539
0.456,0.4517062264081236
0.459,0.4626452275044208
0.462,0.4728410375961872
0.465,0.4822846088166431
0.468,0.4909680863833535
0.471,0.4988847136730253
0.474,0.5060289096975156
0.477,0.5123962431955175
0.48,0.517983390833254
0.483,0.5227882199155338
0.486,0.5268096873689875
0.489,0.5300479024780714
0.492,0.5325041003459171
0.495,0.5341805882243345
0.498,0.5350808197693174
0.501,0.535209291692493
0.504,0.5345715904036487
0.507,0.5331743653174008
0.51,0.531025266120598
0.513,0.5281330059449051
0.516,0.5245072593051343
0.519,0.5201586922415358
0.522,0.5150989355271142
0.525,0.5093405161850956
0.528,0.502896907323634
0.531,0.4957824307163236
0.534,0.4880122709085529
0.537,0.4796024480486348
0.54,0.4705697472864599
0.543,0.4609317534690054
0.546,0.4507067613698458
0.549,0.439913774985867
0.552,0.4285724794827776
0.555,0.4167031722199068
0.558,0.4043267810450578
0.561,0.3914647847407093
0.564,0.3781391993730093
0.567,0.3643725487166941
0.57,0.3501878005606145
0.573,0.3356083679414086
0.576,0.3206580418720301
0.579,0.3053609670897035
0.582,0.2897416103070155
0.585,0.2738247051768943
0.588,0.2576352364339947
0.591,0.2411983864309859
0.594,0.2245395029561788
0.597,0.2076840647386034
0.6,0.1906576380090056
0.603,0.1734858441526274
0.606,0.1561943210179924
0.609,0.1388086856375356
0.612,0.1213544965821605
0.615,0.1038572244742941
0.618,0.08634220436810311
0.621,0.06883461223631583
0.624,0.05135942543353367
0.627,0.03394138173190313
0.63,0.01660496545828338
0.633,-0.0006256536193928344
0.636,-0.01772662875940277
0.639,-0.03467447533794077
0.642,-0.05144611501732017
0.645,-0.06801887306350943
0.648,-0.08437055068477328
0.651,-0.1004794190845445
0.654,-0.1163242556686209
0.657,-0.1318843909945744
0.66,-0.1471396894021539
0.663,-0.1620706299106054
0.666,-0.176658286934491
0.669,-0.1908843615324816
0.672,-0.2047312304069843
0.675,-0.2181819104751329
0.678,-0.2312201453695343
0.681,-0.2438303742746697
0.684,-0.2559977565862506
0.687,-0.2677082219436761
0.69,-0.2789484200933198
0.693,-0.2897058098676199
0.696,-0.2999686179055538
0.699,-0.3097258555843135
0.702,-0.3189673688231309
0.705,-0.3276837752368474
0.708,-0.3358665524228905
0.711,-0.3435079885550661
0.714,-0.3506011909644156
0.717,-0.3571401342684696
0.72,-0.3631195873544447
0.723,-0.3685351978826737
0.726,-0.3733834368861311
0.729,-0.3776615988881478
0.732,-0.3813678466079045
0.735,-0.3845011316857722
0.738,-0.3870612705939483
0.741,-0.3890488873512061
0.744,-0.3904654045892232
0.747,-0.3913130831687167
0.75,-0.3915949412229353
0.753,-0.3913148161951733
0.756,-0.3904773105388126
0.759,-0.3890877731868529
0.762,-0.3871523329186226
0.765,-0.3846778185600948
0.768,-0.3816718059960515
0.771,-0.3781425679084737
0.774,-0.3740990473313717
0.777,-0.3695508834085995
0.78,-0.3645083353960513
0.783,-0.358982314314944
0.786,-0.3529843372854893
0.789,-0.3465264953028594
0.792,-0.3396214702318764
0.795,-0.3322824649805404
0.798,-0.3245232202127156
0.801,-0.3163579734051274
