"time","mass.s"
0,1
0.002,0.9996816127718304
0.004,0.9987287187921656
0.006,0.9971451249926775
0.008,0.9949349731064592
0.01,0.9921028552896616
0.012,0.9886536656586237
0.014,0.9845926267568677
0.016,0.9799253596953487
0.018,0.9746578577541599
0.02,0.968796450854233
0.022,0.9623478279495375
0.024,0.955318959147421
0.026,0.947717260045839
0.028,0.9395504650523222
0.03,0.9308265855165633
0.032,0.9215539228190147
0.034,0.9117411576007063
0.036,0.9013971938406081
0.038,0.8905313086928928
0.04,0.8791529710966836
0.042,0.8672720083804804
0.044,0.8548984771292782
0.046,0.8420426951304678
0.048,0.8287152763783088
0.05,0.8149270159546382
0.052,0.8006890010714007
0.054,0.7860125375001003
0.056,0.7709091570162528
0.058,0.7553905904207748
0.06,0.7394687799301303
0.062,0.7231558772039088
0.064,0.706464218919277
0.066,0.6894063099618105
0.068,0.6719948182383118
0.07,0.6542425962342635
0.072,0.6361626410757573
0.074,0.6177680911110377
0.076,0.5990722102895768
0.078,0.5800884038723028
0.08,0.5608301891408443
0.082,0.5413111905308873
0.084,0.5215451144634116
0.086,0.5015457776750626
0.088,0.4813270700595988
0.09,0.4609029528960546
0.092,0.4402874375796847
0.094,0.4194945997207281
0.096,0.3985385552224944
0.098,0.3774334533653526
0.1,0.356193463851044
0.102,0.3348327740283572
0.104,0.3133655782846592
0.106,0.2918060667954362
0.108,0.2701684188948034
0.11,0.2484667926466584
0.112,0.2267153138140441
0.114,0.2049280691974036
0.116,0.1831191010515769
0.118,0.1613024007731048
0.12,0.1394918826253651
0.122,0.1177013903112478
0.124,0.09594468702139673
0.126,0.07423546230969337
0.128,0.05258728234371383
0.13,0.03101361322101116
0.132,0.009527804025772829
0.134,-0.01185688842735452
0.136,-0.03312737599311624
0.138,-0.0542706983221411
0.14,-0.07527404364469904
0.142,-0.09612472544529654
0.144,-0.1168102434046435
0.146,-0.1373182678702493
0.148,-0.1576366428162572
0.15,-0.1777533712497847
0.152,-0.19765665235508
0.154,-0.2173349000720149
0.156,-0.2367767237830228
0.158,-0.2559709249407834
0.16,-0.2749065060005328
0.162,-0.293572727101426
0.164,-0.3119590627563461
0.166,-0.3300552110277181
0.168,-0.3478510721421301
0.17,-0.3653368440412472
0.172,-0.3825029553330754
0.174,-0.3993400872290593
0.176,-0.4158391222852676
0.178,-0.4319912761817722
0.18,-0.447788009226076
0.182,-0.4632210558808463
0.184,-0.4782823674219697
0.186,-0.4929642324028733
0.188,-0.5072592127995469
0.19,-0.5211601549957189
0.192,-0.5346601504635213
0.194,-0.5477526065527276
0.196,-0.5604312435034051
0.198,-0.5726900697810993
0.2,-0.5845233635701775
0.202,-0.5959256969274188
0.204,-0.6068919880985592
0.206,-0.6174174450894759
0.208,-0.6274975660358562
0.21,-0.6371281214319179
0.212,-0.6463052542344383
0.214,-0.6550253966075797
0.216,-0.6632852866159078
0.218,-0.671081914496688
0.22,-0.6784126616340905
0.222,-0.6852751961389576
0.224,-0.6916675018720602
0.226,-0.6975878005555808
0.228,-0.7030347099301668
0.23,-0.7080071341536039
0.232,-0.712504289579916
0.234,-0.7165256476565388
0.236,-0.7200710288555161
0.238,-0.7231405674167181
0.24,-0.7257346957596599
0.242,-0.7278541130512596
0.244,-0.7294998246157295
0.246,-0.7306731674904728
0.248,-0.731375761804502
0.25,-0.7316095004269337
0.252,-0.7313765439876957
0.254,-0.7306793935102114
0.256,-0.7295208170629732
0.258,-0.72790385752444
0.26,-0.7258317982210114
0.262,-0.7233082551070223
0.264,-0.7203370982355375
0.266,-0.7169224379301832
0.268,-0.7130686257130664
0.27,-0.7087803220339935
0.272,-0.7040624218716625
0.274,-0.6989200686914127
0.276,-0.6933586544751988
0.278,-0.6873838162674961
0.28,-0.6810014308691267
0.282,-0.6742175511536247
0.284,-0.6670385120833988
0.286,-0.6594708568744597
0.288,-0.6515213416648927
0.29,-0.6431969203211936
0.292,-0.6345047695291822
0.294,-0.6254522618041758
0.296,-0.6160469517079724
0.298,-0.606296563552255
0.3,-0.5962090348457787
0.302,-0.5857924674149482
0.304,-0.5750551275158582
0.306,-0.5640054464550133
0.308,-0.5526520180320262
0.31,-0.54100358686479
0.312,-0.5290690193125899
0.314,-0.5168573401839586
0.316,-0.5043777043254766
0.318,-0.4916393899290105
0.32,-0.4786517871761761
0.322,-0.4654244076128014
0.324,-0.451966866627167
0.326,-0.4382888746647698
0.328,-0.4244002242346755
0.33,-0.4103108090531133
0.332,-0.3960305961542825
0.334,-0.3815696225619272
0.336,-0.3669379904389786
0.338,-0.3521458630631383
0.34,-0.3372034548672184
0.342,-0.322121018290831
0.344,-0.3069088486066923
0.346,-0.2915772727701824
0.348,-0.2761366411547683
0.35,-0.2605973237642291
0.352,-0.2449696995871791
0.354,-0.2292641526549558
0.356,-0.2134910646817782
0.358,-0.1976608084570592
0.36,-0.1817837407846004
0.362,-0.1658701960319574
0.364,-0.1499304829066979
0.366,-0.1339748765970048
0.368,-0.1180136060287783
0.37,-0.1020568538107594
0.372,-0.08611475355704529
0.374,-0.07019737555199911
0.376,-0.05431472165844154
0.378,-0.03847672148313411
0.38,-0.02269323967506797
0.382,-0.006974041595493616
0.384,0.008671193715698142
0.386,0.02423288167799533
