"time","transferFunction.y","mass.s"
0,0,0
0.01,0,0
0.02,0,0
0.03,0,0
0.04,0,0
0.05,0,0
0.06,0,0
0.07,0,0
0.08,0,0
0.09,0,0
0.1,0,0
0.11,0,0
0.12,0,0
0.13,0,0
0.14,0,0
0.15,0,0
0.16,0,0
0.17,0,0
0.18,0,0
0.19,0,0
0.2,0,0
0.21,0,0
0.22,0,0
0.23,0,0
0.24,0,0
0.25,0,0
0.26,0,0
0.27,0,0
0.28,0,0
0.29,0,0
0.3,0,0
0.31,0,0
0.32,0,0
0.33,0,0
0.34,0,0
0.35,0,0
0.36,0,0
0.37,0,0
0.38,0,0
0.39,0,0
0.4,0,0
0.41,0,0
0.42,0,0
0.43,0,0
0.44,0,0
0.45,0,0
0.46,0,0
0.47,0,0
0.48,0,0
0.49,0,0
0.5,0,0
0.51,0,0
0.52,0,0
0.53,0,0
0.54,0,0
0.55,0,0
0.56,0,0
0.57,0,0
0.58,0,0
0.59,0,0
0.6,0,0
0.61,0,0
0.62,0,0
0.63,0,0
0.64,0,0
0.65,0,0
0.66,0,0
0.67,0,0
0.68,0,0
0.69,0,0
0.7,0,0
0.71,0,0
0.72,0,0
0.73,0,0
0.74,0,0
0.75,0,0
0.76,0,0
0.77,0,0
0.78,0,0
0.79,0,0
0.8,0,0
0.81,0,0
0.82,0,0
0.83,0,0
0.84,0,0
0.85,0,0
0.86,0,0
0.87,0,0
0.88,0,0
0.89,0,0
0.9,0,0
0.91,0,0
0.92,0,0
0.93,0,0
0.94,0,0
0.95,0,0
0.96,0,0
0.97,0,0
0.98,0,0
0.99,0,0
1,0,0
1.01,0,0
1.02,0,0
1.03,0,0
1.04,0,0
1.05,0,0
1.06,0,0
1.07,0,0
1.08,0,0
1.09,0,0
1.1,0,0
1.11,0,0
1.12,0,0
1.13,0,0
1.14,0,0
1.15,0,0
1.16,0,0
1.17,0,0
1.18,0,0
1.19,0,0
1.2,0,0
1.21,0,0
1.22,0,0
1.23,0,0
1.24,0,0
1.25,0,0
1.26,0,0
1.27,0,0
1.28,0,0
1.29,0,0
1.3,0,0
1.31,0,0
1.32,0,0
1.33,0,0
1.34,0,0
1.35,0,0
1.36,0,0
1.37,0,0
1.38,0,0
1.39,0,0
1.4,0,0
1.41,0,0
1.42,0,0
1.43,0,0
1.44,0,0
1.45,0,0
1.46,0,0
1.47,0,0
1.48,0,0
1.49,0,0
1.5,0,0
1.51,0,0
1.52,0,0
1.53,0,0
1.54,0,0
1.55,0,0
1.56,0,0
1.57,0,0
1.58,0,0
1.59,0,0
1.6,0,0
1.61,0,0
1.62,0,0
1.63,0,0
1.64,0,0
1.65,0,0
1.66,0,0
1.67,0,0
1.68,0,0
1.69,0,0
1.7,0,0
1.71,0,0
1.72,0,0
1.73,0,0
1.74,0,0
1.75,0,0
1.76,0,0
1.77,0,0
1.78,0,0
1.79,0,0
1.8,0,0
1.81,0,0
1.82,0,0
1.83,0,0
1.84,0,0
1.85,0,0
1.86,0,0
1.87,0,0
1.88,0,0
1.89,0,0
1.9,0,0
1.91,0,0
1.92,0,0
1.93,0,0
1.94,0,0
1.95,0,0
1.96,0,0
1.97,0,0
1.98,0,0
1.99,0,0
2,0,0
2,0,0
2,0,0
2.01,0.007428020285849324,0.007428020285849823
2.02,0.02935018396906015,0.02935018396906112
2.03,0.06506378370900377,0.0650637837090052
2.04,0.1136664112166399,0.1136664112166417
2.05,0.1740752586155201,0.1740752586155225
2.06,0.2450487919458076,0.2450487919458063
2.07,0.3252091289144789,0.3252091289144762
2.08,0.4130684028354488,0.413068402835453
2.09,0.5070549989123673,0.5070549989123717
2.1,0.6055387673571847,0.6055387673571936
2.11,0.7068593906658885,0.7068593906659004
2.12,0.8093529127800123,0.8093529127800226
2.13,0.9113779313732173,0.9113779313732275
2.14,1.011341028518246,1.011341028518258
2.15,1.107720607684347,1.10772060768436
2.16,1.199088966653459,1.199088966653473
2.17,1.284132463510558,1.284132463510572
2.18,1.361669422706141,1.361669422706155
2.19,1.430665437727025,1.430665437727039
2.2,1.490246000917631,1.490246000917645
2.21,1.539706286203608,1.539706286203622
2.22,1.578518078651146,1.578518078651159
2.23,1.606333752525742,1.606333752525755
2.24,1.622987236559569,1.622987236559582
2.25,1.628492156870831,1.628492156870844
2.26,1.623037378447222,1.623037378447235
2.27,1.60697902235292,1.606979022352932
2.28,1.580831531895645,1.580831531895656
2.29,1.545255398980215,1.545255398980225
2.3,1.501043048015774,1.501043048015783
2.31,1.44910323907234,1.449103239072348
2.32,1.390443778292238,1.390443778292242
2.33,1.326153432469393,1.32615343246939
2.34,1.257382744964275,1.257382744964269
2.35,1.185324186263736,1.185324186263729
2.36,1.111192467875744,1.111192467875735
2.37,1.036204777199648,1.036204777199636
2.38,0.9615619817064399,0.9615619817064255
2.39,0.8884300132031966,0.8884300132031818
2.4,0.8179212368513589,0.817921236851332
2.41,0.7510806659475124,0.7510806659474719
2.42,0.6888697311009155,0.6888697311008708
2.43,0.6321526099719357,0.6321526099718936
2.44,0.5816855606954215,0.581685560695385
2.45,0.538108440236633,0.5381084402366183
2.46,0.5019363109188247,0.5019363109188233
2.47,0.4735553482057963,0.4735553482057953
2.48,0.4532193980661062,0.4532193980660944
2.49,0.4410503316993548,0.4410503316993392
2.5,0.4370380663941171,0.4370380663941124
2.51,0.4410440604612286,0.4410440604612323
2.52,0.4528070143283973,0.4528070143283996
2.53,0.4719507256947847,0.4719507256947882
2.54,0.4979919341311525,0.4979919341311627
2.55,0.5303504703206436,0.5303504703206604
2.56,0.568360767341901,0.5683607673419013
2.57,0.6112857331622307,0.6112857331622102
2.58,0.6583293108218892,0.6583293108218686
2.59,0.7086492326645764,0.7086492326645499
2.6,0.761373056789969,0.7613730567899374
2.61,0.8156121606857966,0.8156121606857683
2.62,0.8704758988396047,0.8704758988395852
2.63,0.9250856033120874,0.9250856033120751
2.64,0.9785884355999891,0.9785884355999821
2.65,1.030170220511573,1.030170220511574
2.66,1.079066163877462,1.079066163877463
2.67,1.12457416692806,1.124574166928066
2.68,1.166062283307899,1.166062283307918
2.69,1.202977401881633,1.202977401881668
2.7,1.234850925149676,1.234850925149722
2.71,1.261305449996373,1.261305449996423
2.72,1.282059323849454,1.282059323849508
2.73,1.296926640942216,1.296926640942271
2.74,1.305818487083923,1.305818487083977
2.75,1.308742919739605,1.308742919739657
2.76,1.305801411557902,1.305801411557951
2.77,1.297184836322185,1.297184836322229
2.78,1.283168717183606,1.283168717183645
2.79,1.264107103531375,1.26410710353141
2.8,1.240424477094238,1.240424477094267
2.81,1.212607636656895,1.212607636656917
2.82,1.181196001934362,1.181196001934376
2.83,1.146772352633632,1.14677235263364
2.84,1.109952672085673,1.109952672085677
2.85,1.071375502463849,1.071375502463847
2.86,1.031691084802623,1.031691084802614
2.87,0.9915509693654031,0.9915509693653891
2.88,0.9515977779905976,0.9515977779905789
2.89,0.9124555289699786,0.9124555289699562
2.9,0.8747200050606621,0.8747200050606355
2.91,0.8389500724289095,0.8389500724288798
2.92,0.8056597530307571,0.8056597530307245
2.93,0.7753116856681546,0.7753116856681197
2.94,0.7483106754536281,0.748310675453592
2.95,0.7249987768289508,0.7249987768289138
2.96,0.7056517654708985,0.7056517654708613
2.97,0.6904758106765108,0.6904758106764739
2.98,0.6796067029907986,0.6796067029907618
2.99,0.6731089863254646,0.6731089863254277
3,0.6709773542584183,0.6709773542583819
3.01,0.673137358994226,0.6731373589941909
3.02,0.6794489795365986,0.6794489795365654
3.03,0.6897105454684267,0.6897105454683955
3.04,0.7036630418303921,0.7036630418303635
3.05,0.7209958410780678,0.7209958410780419
