"time","transferFunction.y"
0,0
0.012,-0.001144591456938384
0.024,-0.004551574819470432
0.036,-0.01018043981389579
0.048,-0.01798881045508285
0.06,-0.02793542992780759
0.072,-0.03997915707443393
0.084,-0.05407877291424064
0.096,-0.07019319734282996
0.108,-0.08828137976235909
0.12,-0.1083024704961772
0.132,-0.1302157883809469
0.144,-0.1539808389556925
0.156,-0.1795572743295493
0.168,-0.2069048991442516
0.18,-0.2359837075561182
0.192,-0.2667539328007612
0.204,-0.2991760194086655
0.216,-0.333210598667099
0.228,-0.3688185023658727
0.24,-0.4059608497693946
0.252,-0.4445990314378971
0.264,-0.4846946326673794
0.276,-0.5262095352090271
0.288,-0.5691058523903541
0.3,-0.6133460202854184
0.312,-0.6588926972477361
0.324,-0.7057088710452861
0.336,-0.7537577697775113
0.348,-0.8030029593074242
0.36,-0.8534082563059728
0.372,-0.9049378033545228
0.384,-0.9575560330289747
0.396,-1.011227689256343
0.408,-1.065917829572508
0.42,-1.121591816640347
0.432,-1.178215322979477
0.444,-1.235754343057543
0.456,-1.294175185803118
0.468,-1.353444479450439
0.48,-1.413529166786672
0.492,-1.474396515521547
0.504,-1.536014116326767
0.516,-1.598349883094412
0.528,-1.66137205131292
0.54,-1.725049184609619
0.552,-1.789350169992198
0.564,-1.854244222416045
0.576,-1.919700878436354
0.588,-1.98569000067888
0.6,-2.052181777904241
0.612,-2.119146723748208
0.624,-2.186555678565073
0.636,-2.254379808958886
0.648,-2.322590606290788
0.66,-2.391159888693492
0.672,-2.460059774542752
0.684,-2.52926272518038
0.696,-2.598741521345122
0.708,-2.668469258741891
0.72,-2.738419329361506
0.732,-2.808565469394484
0.744,-2.878881721327584
0.756,-2.949342439660694
0.768,-3.019922291132751
0.78,-3.090596257434592
0.792,-3.161339629856706
0.804,-3.232128015739408
0.816,-3.302937327240761
0.828,-3.373743785507682
0.84,-3.444523917880951
0.852,-3.515254546555573
0.864,-3.585912810546792
0.876,-3.656476147189869
0.888,-3.726922280718882
0.9,-3.797229225650439
0.912,-3.867375309409904
0.924,-3.937339144765697
0.936,-4.007099627171473
0.948,-4.076635946025267
0.96,-4.145927576735908
0.972,-4.214954281251757
0.984,-4.283696126463802
0.996,-4.352133438402042
1.008,-4.420246833474684
1.02,-4.488017215803789
1.032,-4.555425774506717
1.044,-4.622453968806232
1.056,-4.689083540616535
1.068,-4.755296487379928
1.08,-4.821075094170691
1.092,-4.886401918473171
1.104,-4.951259781462181
1.116,-5.015631744705987
1.128,-5.079501161368964
1.14,-5.142851634938006
1.152,-5.205667035508334
1.164,-5.26793149739917
1.176,-5.329629397856249
1.188,-5.390745374048882
1.2,-5.45126436186617
1.212,-5.511171527324441
1.224,-5.570452288983328
1.236,-5.629092328390684
1.248,-5.687077543896235
1.26,-5.744394106410369
1.272,-5.801028441398564
1.284,-5.856967213830015
1.296,-5.912197328512559
1.308,-5.966705935158068
1.32,-6.020480425429706
1.332,-6.073508429039665
1.344,-6.125777822967647
1.356,-6.177276716850021
1.368,-6.227993452387771
1.38,-6.277916607846376
1.392,-6.327035006868051
1.404,-6.375337701692574
1.416,-6.422813970500973
1.428,-6.46945332569751
1.44,-6.515245513129417
1.452,-6.560180506527969
1.464,-6.604248505033786
1.476,-6.647439935655449
1.488,-6.68974544939678
1.5,-6.731155921550783
1.512,-6.77166245138168
1.524,-6.81125635934004
1.536,-6.849929186418545
1.548,-6.887672695697594
1.56,-6.924478871014662
1.572,-6.960339908162709
1.584,-6.99524822175521
1.596,-7.029196441728335
1.608,-7.062177413082885
1.62,-7.094184197317181
1.632,-7.125210063113758
1.644,-7.155248492262713
1.656,-7.184293176630303
1.668,-7.212338017548245
1.68,-7.239377152530731
1.692,-7.265404891728943
1.704,-7.290415765446054
1.716,-7.314404510380162
1.728,-7.337366068679532
1.74,-7.359295582200365
1.752,-7.380188400573575
1.764,-7.400040075522156
1.776,-7.418846359383481
1.788,-7.436603204836262
1.8,-7.4533067847537
1.812,-7.468953464159928
1.824,-7.483539793164044
1.836,-7.497062528981004
1.848,-7.509518626639877
1.86,-7.520905224427908
1.872,-7.531219645570263
1.884,-7.540459435463772
1.896,-7.548622319363018
1.908,-7.555706213944087
1.92,-7.561709234909091
1.932,-7.56662972130983
1.944,-7.570466151724735
1.956,-7.573217214884382
1.968,-7.574881789084886
1.98,-7.575458941085557
1.992,-7.574947902141157
2.004,-7.57334811947967
2.016,-7.570659214902475
2.028,-7.566880994656247
2.04,-7.562013448578258
2.052,-7.55605674863978
2.064,-7.549011249219042
2.076,-7.5408774856586
2.088,-7.531656173338739
2.1,-7.521348206908361
2.112,-7.509954653860937
2.124,-7.49747676086302
2.136,-7.483915954627799
2.148,-7.469273834831233
2.16,-7.453552175497518
2.172,-7.436752928884549
2.184,-7.418878223803563
2.196,-7.399930351277391
2.208,-7.37991177824119
2.22,-7.358825142293713
2.232,-7.336673247410738
2.244,-7.313459052720695
2.256,-7.289185705410281
2.268,-7.263856510759354
2.28,-7.237474939268409
2.292,-7.210044625889401
2.304,-7.181569381299321
2.316,-7.152053163571468
